name,slug,x_url,facebook_url,instagram_url
Vail Mountain,vail,https://x.com/vailmtn,https://www.facebook.com/vailmtn/,https://www.instagram.com/vailmtn/
Breckenridge,breckenridge,https://x.com/breckenridgemtn,https://www.facebook.com/Breckenridge/,https://www.instagram.com/breckenridgemtn/
Keystone Resort,keystone,https://x.com/keystonemtn,https://www.facebook.com/Keystone/,https://www.instagram.com/keystone_resort/
Beaver Creek Resort,beaver-creek,https://x.com/beavercreekmtn,https://www.facebook.com/beavercreek/,https://www.instagram.com/beavercreek/
Crested Butte Mountain Resort,crested-butte,https://x.com/skicrestedbutte,https://www.facebook.com/skicrestedbutte/,https://www.instagram.com/skicrestedbutte/
Telluride Ski Resort,telluride,https://x.com/telluride,https://www.facebook.com/telluride/,https://www.instagram.com/tellurideski/
Aspen Snowmass,aspen-snowmass,https://x.com/AspenSnowmass,https://www.facebook.com/aspensnowmass,https://www.instagram.com/aspensnowmass/
Arapahoe Basin,arapahoe-basin,https://x.com/Arapahoe_Basin,https://www.facebook.com/ArapahoeBasinSkiArea/,https://www.instagram.com/arapahoe_basin/
Loveland Ski Area,loveland,https://x.com/LovelandSkiArea,https://www.facebook.com/lovelandskiarea,https://www.instagram.com/lovelandskiarea/
Copper Mountain,copper-mountain,https://x.com/CopperMtn,https://www.facebook.com/CopperMtn/,https://www.instagram.com/coppermtn/
Wolf Creek Ski Area,wolf-creek,https://x.com/wolfcreekski2,https://www.facebook.com/wolfcreekski/,https://www.instagram.com/wolfcreekski/
Monarch Mountain,monarch-mountain,https://x.com/MonarchMountain,https://www.facebook.com/MonarchMtn/,https://www.instagram.com/monarchmountain/
Powderhorn Mountain Resort,powderhorn,https://x.com/skipowderhorn,https://www.facebook.com/SkiPowderhorn/,https://www.instagram.com/skipowderhorn/
Ski Cooper,ski-cooper,https://x.com/skicooperco,https://www.facebook.com/skiCooperChicagoRidge/,https://www.instagram.com/skicooper/
Steamboat Ski Resort,steamboat,https://x.com/skisteamboat,https://www.facebook.com/SteamboatResort/,https://www.instagram.com/steamboatresort/
