name,slug,state,region,lat,lng,website_url,cam_page_url,snotel_station_id,is_active,x_url,facebook_url,instagram_url
Vail Mountain,vail,CO,Colorado Rockies,39.6433,-106.3781,https://www.vail.com,https://www.vail.com/the-mountain/mountain-conditions/mountain-cams.aspx,842:CO:SNTL,true,https://x.com/vailmtn,https://www.facebook.com/vailmtn/,https://www.instagram.com/vailmtn/
Breckenridge,breckenridge,CO,Summit County,39.4817,-106.0670,https://www.breckenridge.com,https://www.breckenridge.com/the-mountain/mountain-conditions/mountain-cams.aspx,415:CO:SNTL,true,https://x.com/breckenridgemtn,https://www.facebook.com/Breckenridge/,https://www.instagram.com/breckenridgemtn/
Keystone Resort,keystone,CO,Summit County,39.6042,-105.9478,https://www.keystoneresort.com,https://www.keystoneresort.com/the-mountain/mountain-conditions/mountain-cams.aspx,505:CO:SNTL,true,https://x.com/keystonemtn,https://www.facebook.com/Keystone/,https://www.instagram.com/keystone_resort/
Beaver Creek Resort,beaver-creek,CO,Eagle County,39.6042,-106.5178,https://www.beavercreek.com,https://www.beavercreek.com/the-mountain/mountain-conditions/mountain-cams.aspx,1041:CO:SNTL,true,https://x.com/beavercreekmtn,https://www.facebook.com/beavercreek/,https://www.instagram.com/beavercreek/
Crested Butte Mountain Resort,crested-butte,CO,Elk Mountains,38.8989,-106.9614,https://www.skicb.com,https://www.skicb.com/the-mountain/mountain-conditions/mountain-cams.aspx,380:CO:SNTL,true,https://x.com/skicrestedbutte,https://www.facebook.com/skicrestedbutte/,https://www.instagram.com/skicrestedbutte/
Telluride Ski Resort,telluride,CO,San Juan Mountains,37.9375,-107.8123,https://www.tellurideskiresort.com,https://www.tellurideskiresort.com/webcams/,1344:CO:SNTL,true,https://x.com/telluride,https://www.facebook.com/telluride/,https://www.instagram.com/tellurideski/
Aspen Snowmass,aspen-snowmass,CO,Elk Mountains,39.2083,-106.9498,https://www.aspensnowmass.com,https://www.aspensnowmass.com/four-mountains/mountain-cams,669:CO:SNTL,true,https://x.com/AspenSnowmass,https://www.facebook.com/aspensnowmass,https://www.instagram.com/aspensnowmass/
Arapahoe Basin,arapahoe-basin,CO,Summit County,39.6428,-105.8714,https://www.arapahoebasin.com,https://www.arapahoebasin.com/mountain-cams/,505:CO:SNTL,true,https://x.com/Arapahoe_Basin,https://www.facebook.com/ArapahoeBasinSkiArea/,https://www.instagram.com/arapahoe_basin/
Loveland Ski Area,loveland,CO,Clear Creek County,39.6800,-105.8978,https://skiloveland.com,https://skiloveland.com/webcams/,602:CO:SNTL,true,https://x.com/LovelandSkiArea,https://www.facebook.com/lovelandskiarea,https://www.instagram.com/lovelandskiarea/
Copper Mountain,copper-mountain,CO,Summit County,39.5022,-106.1497,https://www.coppercolorado.com,https://www.coppercolorado.com/the-mountain/webcams/,415:CO:SNTL,true,https://x.com/CopperMtn,https://www.facebook.com/CopperMtn/,https://www.instagram.com/coppermtn/
Wolf Creek Ski Area,wolf-creek,CO,San Juan Mountains,37.4756,-106.7953,https://wolfcreekski.com,https://wolfcreekski.com/webcams/,874:CO:SNTL,true,https://x.com/wolfcreekski2,https://www.facebook.com/wolfcreekski/,https://www.instagram.com/wolfcreekski/
